This data is downloaded from the A.P.E.S. Dashboard. Please see http://apesportal.eva.mpg.de/status/tools/dashboard/APES_Dashboard_Methodology.pdf for full terms and conditions of use.
IAS ID, Name, Category, Area (km2) , Pressure, Habitat, Response , Biodiversity , Analysis Taxa Present, Score Determining Taxon, Taxon-Site Overlap (%), Uncertainty
1,The Leuser Ecosystem,Landscapes,26272.5,0.698325567,0.60609625,0.8361355,0.623619604, ha hlv pa ss,ha,0.065359477,0.968621787
2,Kerinci-Seblat,Landscapes,13749.1,0.510293985,0.97091125,1,0.634423822, ha ss,ss,100,0.437878808
3,North-west Kalimantan/ Malaysia border,Landscapes,12254.6,0.32519652,0.994048187,0.846949,0.378661074, hal hma ppy,ppy,69.14759163,0.45041644
4,Central Kalimantan,Landscapes,32837.4,0.605028032,0.800659695,0.313924,0.658733868, hal ppy,hal,87.03975279,0.421159584
5,West Kalimantan,Landscapes,4125.37,0.531296021,0.963432688,0.601453,0.618857129, hal ppy,hal,99.81183358,0.47182168
6,Northeast Kalimantan,Landscapes,30126.2,0.363545908,0.946123109,0.4438065,0.592697152, hmf ppy,hmf,99.9942893,0.420055113
7,Westen Java,Landscapes,1514.98,0.65989359,0.87563875,0.5192955,0.557554774, hm,hm,95.49295775,0.509677128
8,Mentawi Islands,Landscapes,1949.72,0.852128003,0.80952941,1,0.56971175, hk,hk,99.3383326,0.498278778
32,Central Java,Landscapes,28.9905,0.640343228,0.986155,0.75,0.492646261, hm,hm,100,0.847639852
381,The Leuser Ecosystem,Protected Areas,26272.5,0.698325567,0.60609625,0.8361355,0.623619604, ha hlv pa ss,ha,0.065359477,0.968621787
382,Bukit Duabelas NP,Protected Areas,620.928,0.582814839,0.88832,0.75,0.332003034, ha ss,ss,100,0.549609031
383,Bukit Sepat Haung,Protected Areas,2355.38,0.48370752,0.906269374,0.75,0.330828661, hal hmf hmm,hmf,21.28514056,0.561576227
384,Danau Sentarum NP,Protected Areas,1406.98,0.604034904,0.952837569,0.75,0.449904583, hma ppy,ppy,23.97553517,0.585611141
385,Sebangau NP,Protected Areas,6068.13,0.570662499,0.961058079,0.7500355,0.652016988, hal ppy,hal,100,0.459825079
387,Samunsam,Protected Areas,96.6372,0.684452359,0.964095931,0.768018,0.576947678, hma,hma,95.4954955,0.693752582
391,Bukit Barisan Selatan NP,Protected Areas,3386.3,0.677038772,0.9249575,1,0.626483925, ha ss,ss,99.1403287,0.478288217
392,Berbak NP,Protected Areas,1715.53,0.630462127,0.88069125,1,0.756129563, ha,ha,99.84954865,0.503115611
393,Kutai NP,Protected Areas,2266.54,0.758525054,0.791353738,1,0.506572184, hmf ppy,ppy,17.59118541,0.575152735
394,Kerumutan,Protected Areas,1416.5,0.596616641,0.81663625,0.75,0.497672178, ha,ha,100,0.511005893
395,Lanjak-Entimau,Protected Areas,1538,0.576598906,0.999743456,0.7518165,0.371985252, hma ppy,ppy,100,0.507445373
397,Sungai Kayan Sungai Mentarang NP,Protected Areas,12674.9,0.375610036,0.939760241,0.75,0.366115322, hmf,hmf,100,0.439899679
398,Gunung Tilu,Protected Areas,93.1063,0.597584301,0.68421375,1,0.582402433, hm,hm,100,0.691781409
399,Gunung Raya Pasi,Protected Areas,53.2428,0.734224661,0.905254753,1,0.530323679, hma,hma,100,0.757913767
400,Padang Luwai,Protected Areas,90.5711,0.560181475,0.507336226,0.75,0.279602436, hmm,hmm,100,0.696811162
401,Gumai Pasemah,Protected Areas,545.906,0.735359124,0.9032325,0.75,0.339736653, ha ss,ss,100,0.556529031
402,Cikepuh,Protected Areas,140.369,0.653311688,0.6317375,0.75,0.478468003, hm,hm,99.39393939,0.651499098
403,Pleihari Tanah Laut,Protected Areas,407.926,0.734673689,0.591202648,0.75,0.728238181, hmm,hmm,98.72068229999999,0.575152735
414,Kerinci Seblat NP,Protected Areas,13749.1,0.510293985,0.97091125,1,0.634423822, ha ss,ss,100,0.437878808
415,Gunung Masigit Kareumbi,Protected Areas,103.257,0.570426325,0.91343875,0.75,0.315578134, hm,hm,100,0.680958551
416,Kawah Kamojang,Protected Areas,42.7447,0.602443314,0.90730125,0.75,0.359265928, hm,hm,100,0.785627469
417,Salatri,Protected Areas,25.7681,0.595176252,0.45056375,0.75,0.479914323, hm,hm,93.5483871,0.883808376
418,Gunung Ciremai NP,Protected Areas,162.682,0.49461039,0.8478325,0.75,0.612601851, hm,hm,100,0.638397796
419,Gunung Masigit,Protected Areas,290.281,0.587840252,0.8415175,0.75,0.573714454, hm,hm,100,0.595026004
420,Pegunungan Pembarisan,Protected Areas,124.721,0.531266846,0.9603925,0.75,0.311691522, hm,hm,100,0.662669938
421,Gunung Sumbing,Protected Areas,58.7967,0.464953618,0.6624775,0.75,0.290193809, hm,hm,71.01449275,0.791647331
422,Sungai Berambai,Protected Areas,786.889,0.68003686,0.980483254,0.75,0.327355104, hmf hmm,hmm,25.57377049,0.622080579
423,Kaya Kuku NR (Kalimantan),Protected Areas,70.2535,0.813628883,0.389798901,0.75,0.548398598, hmm,hmm,100,0.719675084
424,Apar Besar,Protected Areas,2388.01,0.713529078,0.755136874,0.75,0.580153529, hmm,hmm,96.88631427,0.491759023
425,Apo Kayan NR/BR,Protected Areas,955.268,0.492438569,0.885723254,0.75,0.351733601, hmf,hmf,100,0.528162061
426,Hutan Sambas,Protected Areas,398.897,0.656305465,0.988709049,0.75,0.633808472, hma,hma,100,0.575417522
427,Bukit Rongga,Protected Areas,1388.37,0.619489891,0.967207243,0.75,0.322948987, hal ppy,hal,100,0.511625645
428,Pamukan,Protected Areas,319.158,0.693285364,0.743148756,0.75,0.560272269, hmm,hmm,96.71232877,0.592499383
429,Muara Sebuku,Protected Areas,572.289,0.76465608,0.733621709,0.7526355,0.772742146, hmf ppy,ppy,5.572289157,0.837673065
430,Muara Kayan,Protected Areas,920.973,0.668037023,0.349392931,0.75,0.62368236, hmf,hmf,94.6728972,0.532711225
432,Kuala Jambu Aye,Protected Areas,138.632,0.880679102,0.14825875,0.75,0.535768701, hlv,hlv,38.65030675,0.755759164
433,Sibolga,Protected Areas,243.101,0.829614404,1,0.75,0.618566202, ha pa ss,pa,58.92857143,0.650961552
434,Malampah Alahan Panjang,Protected Areas,433.265,0.711007436,0.9812325,0.75,0.639514073, ha ss,ss,100,0.570750824
435,Gunung Singgalang,Protected Areas,245.481,0.747213593,0.9327375,0.75,0.656736568, ha ss,ss,100,0.607357718
436,Seberida,Protected Areas,2187.5,0.59176845,0.85169125,0.75,0.338873472, ha ss,ss,100,0.493700099
437,Bukit Rimbang/Baling-baling,Protected Areas,1223.56,0.609331863,0.9879625,0.75,0.35543949, ha ss,ss,100,0.517106971
438,Giam Duri,Protected Areas,344.451,0.836074495,0.540685,0.75,0.682488472, ha,ha,100,0.584310893
439,Air Sawan,Protected Areas,884.414,0.528738135,0.91891875,0.75,0.337501522, ha ss,ha,100,0.53177396
440,Bakau Muara Kampar,Protected Areas,350.879,0.607886575,0.72596,0.75,0.654971741, ha,ha,100,0.583358259
441,Bukit Besar,Protected Areas,1338.49,0.582905188,0.943015,0.75,0.350428621, ha ss,ss,100,0.513172872
442,Gn. Tangkuban Perahu (Badung),Protected Areas,161.195,0.659472328,0.58377625,0.7421055,0.335062011, ha ss,ss,100,0.638836388
443,Bukit Balal,Protected Areas,252.027,0.758043303,0.9556175,0.75,0.377712216, ha ss,ss,100,0.604646686
444,Bukit Dingin/Gunung Dempo,Protected Areas,534.567,0.746679991,0.85018625,0.75,0.629477783, ha ss,ss,100,0.557847299
445,Punguk Bingin,Protected Areas,103.676,0.762251488,0.67715375,0.75,0.352932073, ha ss,ss,100,0.680958551
446,Bukit Balai Rejang,Protected Areas,715.111,0.634235344,0.99218125,0.75,0.355882563, ha ss,ss,100,0.542635366
447,Gunung Betung,Protected Areas,59.3679,0.777362147,0.7328925,0.75,0.591227769, ha ss,ss,100,0.74197662
448,Rebang,Protected Areas,123.915,0.802975078,0.51026625,0.75,0.261636597, ha ss,ss,100,0.663314204
460,Dolok Sipirok,Protected Areas,68.7913,0.871531572,1,1,0.299410138, ha pa ss,pa,26.58227848,0.956304196
462,Hutan Kapur Sangkulirang,Protected Areas,2166.67,0.729034129,0.995323972,0.75,0.562480729, hmf ppy,ppy,1.630218688,0.820045889
463,Hutan Lunang,Protected Areas,294.536,0.722710314,0.77966,0.75,0.798554444, ha ss,ss,100,0.594827074
464,Pulau Alang Besar/ Sinebu,Protected Areas,229.41,0.776263556,0.223315,0.8223685,0.588027868, ha,ha,22.55639098,0.762381856
465,Siberut NP,Protected Areas,1949.72,0.852128003,0.80952941,1,0.56971175, hk,hk,99.3383326,0.498278778
466,Danau P. Besar/Danau Pulau Bawah,Protected Areas,254.547,0.603788958,0.9509575,0.75,0.770201225, ha,ha,100,0.604406993
468,Bukit Raya (Perluasan),Protected Areas,3318.69,0.555632194,0.97011729,0.751297,0.359937725, hal ppy,hal,100,0.478860346
470,Sembilang NP,Protected Areas,1333.38,0.526201259,0.760435,0.75,0.685961668, ha,ha,99.15857605,0.513946236
472,Barumun,Protected Areas,486.506,0.732594091,0.974545,0.75,0.62554356, ha ss,ss,100,0.56356915
476,Dolok Toinggi Raja,Protected Areas,367.544,0.803590336,0.73778875,0.75,0.262697626, ha hlv,hlv,100,0.580313512
477,Semidang Bukit Kabu,Protected Areas,160.73,0.763797723,0.901675,0.75,0.581424071, ha ss,ss,100,0.638397796
613,Leuwang Sancang and Perairan,Protected Areas,111.339,0.695268449,0.88306375,1,0.504581767, hm,hm,55.03875969,0.740173121
614,Pulau Penyu (Pesisir Selatan),Protected Areas,1277.45,0.821563339,0.093095875,0,0.548233746, ha,ha,1.551956815,0.934361136
615,Bukit Barisan Selatan,Protected Areas,565.203,0.827772694,0.998838922,1,0.363675854, hlv pa ss,pa,7.446808511,0.791647331
616,Sultan Sarif Hasyim,Protected Areas,90.1304,0.817459775,0.5038,0.75,0.344428289, ha,ha,100,0.693752582
617,Lamandau,Protected Areas,365.979,0.694927265,0.928816097,0.75,0.676284795, hal ppy,hal,100,0.580609346
620,Tanjung Puting NP,Protected Areas,3994.9,0.538001862,0.816007509,1,0.670458391, hal ppy,hal,99.84939759,0.472731371
621,Mandor,Protected Areas,54.1302,0.691703643,0.718073744,1,0.500992345, hma,hma,100,0.76012059
622,Bukit Tangkiling,Protected Areas,50.9624,0.807504015,0.909466447,1,0.358084123, hal ppy,hal,100,0.762381856
623,Muara Kaman Sedulang,Protected Areas,739.964,0.477366599,0.600736453,1,0.372128079, hmf,hmf,100,0.541186418
624,Isau-isau Pasemah,Protected Areas,150.417,0.754077665,0.8689325,0.75,0.347799012, ha ss,ss,100,0.645823913
625,Ujung Kulon NP,Protected Areas,1268.56,0.261258104,0.95958,1,0.554621469, hm,hm,35.70948218,0.566959748
634,Gunung Papandayan,Protected Areas,46.4439,0.581493506,0.79749625,1,0.358010619, hm,hm,100,0.777235974
635,Gunung Simpang,Protected Areas,88.3302,0.526485062,0.98286,1,0.542245774, hm,hm,100,0.696811162
636,Gunung Burangrang,Protected Areas,47.6985,0.608869031,0.80562375,1,0.349059851, hm,hm,100,0.76951667
637,Ciogong,Protected Areas,39.9766,0.60458256,0.84153625,0.75,0.52084703, hm,hm,100,0.801410489
638,Pasir Salam,Protected Areas,66.6758,0.598988868,0.88297625,0.75,0.513679704, hm,hm,100,0.730084769
639,Gunung Limbung,Protected Areas,199.877,0.564039439,0.92418625,0.75,0.546381314, hm,hm,100,0.621423129
640,Gunung Slamet,Protected Areas,282.491,0.45188315,0.88587,0.75,0.343252265, hm,hm,100,0.597059545
641,Gunung Liman Wilis,Protected Areas,233.83,0.552424948,0.98161,0.75,0.576812544, hm,hm,100,0.611291809
642,Gunung Beratus,Protected Areas,1240.43,0.501096846,0.918011184,0.75,0.292085576, hmm,hmm,100,0.516408782
643,Gunung Lumut,Protected Areas,505.538,0.520731947,0.99972977,0.75,0.587786092, hmm,hmm,100,0.561381884
644,Batu Kristal,Protected Areas,37.6057,0.208135464,0.959385487,0.75,0.325255643, hmf,hmf,100,0.812194252
645,Betung Kerihun NP,Protected Areas,7871.49,0.296847368,0.920098506,1,0.369120116, hal hma ppy,hal,2.72250164,0.617327549
646,Bukit Perai,Protected Areas,1840.67,0.396967061,0.959382048,0.75,0.356084771, hal ppy,hal,100,0.500171641
647,Pararawen Baru,Protected Areas,820.373,0.604397612,0.974883242,0.75,0.325638766, hal ppy,hal,100,0.535672647
648,Teluk Kelumpang/Selat Laut/Selat Sebuku,Protected Areas,859.018,0.7410683,0.800815497,1,0.594242121, hmm,hmm,53.51405622,0.566740023
649,Gunung Berau,Protected Areas,1601.75,0.60152945,0.995257409,0.75,0.576773099, hmf ppy,ppy,2.691065662,0.78859191
651,Lingga Isaq,Protected Areas,1813.58,0.628530756,0.982706864,0.75,0.30481413, hlv pa ss,pa,7.484604453,0.654823085
652,Rantau Pala Gajah,Protected Areas,27.8673,0.777465229,0.51274875,0.75,0.708996041, hlv ss,ss,74.19354839,0.934361136
