This data is downloaded from the A.P.E.S. Dashboard. Please see http://apesportal.eva.mpg.de/status/tools/dashboard/APES_Dashboard_Methodology.pdf for full terms and conditions of use.
IAS ID, Name, Category, Area (km2) , Taxon, Taxon-Site Overlap (%), Pressure score , Main Pressure, Habitat score, Response score , Biodiversity score , Uncertainity  score, Habitat Suitability (2000) Score, Mean Forest Cover (2005) (%), Mean Deforestation (2000 - 2005) (%), Mean Human Influence Index, Mean Population Count (2000), Mean Population Change (1990 - 2000) (%), Protection Extent (%), Maximum Species Richness (MSR), Proportion MSR Threatened (%), Mean Carbon Stock (tonnes/ha), Site Additional Information
924, Rawa Singkil, Protected Areas, 959.737, hlv, 74.70747075, 0.516693654, Population, 0.9534725, 0.75, 0.747575277, 0.542573911, , 76.2778, 3.04454, 5.418861426, 6.739893769, 11.9271, 100, 441, 47.39229025, 54315.6, Wildlife Reserve (WDPA ID: 17962)
870, Pararawen I / II, Protected Areas, 39.5611, hal, 100, 0.774979809, Population, 0.976939935, 1, 0.330049519, 0.794798639, , 78.3462, 1.2406, 10.83940835, 33.16174134, 34.0042, 100, 116, 33.62068966, 28584, Nature Reserve (WDPA ID: 1914)
908, Bukit Hitam (Sebag), Protected Areas, 792.199, ha, 100, 0.61256107, HII, 0.96141125, 0.75, 0.635235012, 0.537245186, , 76.9129, 0.886989, 9.715193052, 8.188169536, 30.59, 100, 442, 48.19004525, 31560.5, Protection Forest (WDPA ID: 8994)
419, Gunung Masigit, Protected Areas, 290.281, hm, 100, 0.587840252, Population, 0.8415175, 0.75, 0.573714454, 0.595026004, , 67.3214, 1.2406, 17.6221577, 272.029768, 21.7426, 100, 374, 51.60427807, 27130.8, Nature Reserve (WDPA ID: 8571)
907, Bukit Nantiogan Hulu/Nanti Komerung Hulu, Protected Areas, 725.521, ss, 100, 0.70127525, HII, 0.9619075, 0.75, 0.350160091, 0.541843868, , 76.9526, 1.395, 13.33903748, 32.74349012, 26.2164, 100, 139, 34.5323741, 28590.8, Protection Forest (WDPA ID: 8983)
418, Gunung Ciremai NP, Protected Areas, 162.682, hm, 100, 0.49461039, HII, 0.8478325, 0.75, 0.612601851, 0.638397796, , 67.8266, 1.23463, 15.71821862, 52.36788601, 16.5053, 100, 366, 51.36612022, 36097.4, National Park (WDPA ID: 8559)
1, The Leuser Ecosystem, Landscapes, 26272.5, hlv, 98.94444444, 0.611426348, Population, 0.95268625, 0.8361355, 0.623619604, 0.423158853, , 76.2149, 1.41711, 8.062311789, 8.587557907, 14.4287, 100, 445, 47.41573034, 29347.4,  Important Ape Landscape (Arcus)
886, Gunung Kendeng, Protected Areas, 28.9905, hm, 100, 0.640343228, HII, 0.986155, 0.75, 0.492646261, 0.847639852, , 78.8924, 1.2406, 23.00435274, 137.8577104, 21.7317, 100, 362, 51.93370166, 12724.1, Nature Reserve (WDPA ID: 8584)
444, Bukit Dingin/Gunung Dempo, Protected Areas, 534.567, ha, 100, 0.732337575, HII, 0.85018625, 0.75, 0.629477783, 0.557847299, , 68.0149, 1.12886, 16.03726977, 38.18772033, 26.3141, 100, 442, 48.19004525, 30428.6, Protection Forest (WDPA ID: 8984)
925, Lanjak-Entimau (Extensions), Protected Areas, 184.933, ppy, 100, 0.518301113, HII, 0.999775351, 0.75, 0.370834766, 0.629108346, , 79.9838, 0.0579, 4.654354069, 6.905766807, 13.0519, 100, 158, 32.27848101, 31365.6, Wildlife Sanctuary (WDPA ID: 18250)
438, Giam Duri, Protected Areas, 344.451, ha, 100, 0.836074495, HII, 0.540685, 0.75, 0.682488472, 0.584310893, , 43.2548, 9.5548, 24.45833518, 13.73669177, 53.5462, 100, 378, 50.52910053, 48638.4, Nature Reserve (WDPA ID: 8958)
707, Belat Besar Linau, Protected Areas, 3209.19, ha, 99.9196572, 0.469898142, Population, 0.863355, 0.75, 0.742184176, 0.479968904, , 69.0684, 4.17865, 3.271741855, 0.945059988, 53.0699, 100, 375, 51.2, 60372.1, Other Area (WDPA ID: 98107)
437, Bukit Rimbang/Baling-baling, Protected Areas, 1223.56, ha, 100, 0.597627664, HII, 0.9879625, 0.75, 0.35543949, 0.517106971, , 79.037, 7.66128, 9.113232695, 6.137267925, 51.404, 100, 140, 31.42857143, 31517.2, Nature Reserve (WDPA ID: 8950)
